sex,address,famsize,Medu,Fedu,failures,absences,class
F,U,GT3,4,4,0,6,negative
F,U,LE3,1,1,3,10,negative
F,U,GT3,4,2,0,2,negative
F,U,GT3,3,3,0,4,negative
M,U,LE3,2,2,0,0,negative
F,U,GT3,4,4,0,6,negative
M,U,LE3,3,2,0,0,positive
F,U,GT3,4,4,0,0,negative
F,U,GT3,2,1,0,4,negative
M,U,LE3,4,4,0,2,negative
M,U,GT3,2,2,0,0,negative
F,U,GT3,4,4,0,4,negative
F,U,GT3,4,4,0,6,negative
M,U,GT3,3,2,3,16,negative
M,U,LE3,4,3,0,4,negative
M,U,GT3,4,3,0,0,negative
M,U,LE3,4,2,0,2,negative
M,U,LE3,2,2,0,0,negative
F,R,GT3,2,4,0,2,negative
M,U,GT3,2,2,0,2,negative
M,U,GT3,4,2,0,4,negative
M,U,LE3,3,4,0,4,negative
M,U,GT3,4,4,0,0,negative
M,U,GT3,4,4,0,0,positive
M,R,GT3,4,3,0,0,positive
M,U,GT3,3,2,0,0,negative
F,U,GT3,2,3,0,0,negative
M,U,LE3,4,3,0,2,positive
F,R,GT3,3,4,0,2,negative
F,R,GT3,2,2,0,8,negative
F,U,LE3,2,2,1,25,negative
M,U,GT3,4,4,0,2,positive
M,U,GT3,2,2,0,0,negative
F,U,LE3,2,2,1,14,negative
F,U,LE3,3,3,0,12,negative
M,U,GT3,4,3,0,4,positive
M,U,GT3,4,2,0,2,negative
F,U,LE3,2,2,0,2,negative
F,U,LE3,4,2,0,2,negative
M,U,LE3,4,2,1,6,negative
F,U,LE3,3,3,0,6,negative
F,U,GT3,2,1,0,8,negative
F,U,GT3,4,3,0,0,negative
M,U,LE3,1,2,0,2,negative
F,U,GT3,4,2,0,2,negative
F,R,GT3,4,4,0,6,negative
F,U,LE3,1,2,0,4,negative
F,U,GT3,4,3,0,2,negative
F,U,LE3,4,3,0,0,negative
M,U,GT3,4,4,0,4,negative
F,U,GT3,3,1,0,4,negative
F,R,LE3,2,2,0,2,negative
M,U,GT3,3,1,0,0,negative
M,U,GT3,4,2,0,0,negative
F,R,GT3,1,1,2,2,negative
F,U,GT3,3,3,0,54,negative
M,U,GT3,4,3,0,6,negative
M,U,GT3,4,0,0,8,negative
M,U,GT3,2,1,3,2,negative
F,U,GT3,3,4,0,12,negative
M,U,GT3,2,3,0,2,negative
F,U,LE3,3,2,0,10,negative
M,U,LE3,2,2,0,4,negative
F,U,GT3,1,1,0,2,negative
F,U,LE3,2,2,0,4,negative
F,U,GT3,4,2,0,4,negative
M,U,GT3,2,2,1,12,negative
F,U,GT3,3,3,0,0,negative
F,U,GT3,4,3,0,4,positive
F,U,LE3,3,1,0,4,negative
M,U,LE3,2,2,0,6,negative
F,R,GT3,1,1,1,2,negative
M,R,GT3,4,3,0,2,negative
F,U,GT3,4,4,0,6,negative
F,U,GT3,4,3,0,0,negative
M,U,GT3,4,4,0,14,negative
M,U,GT3,4,4,0,4,negative
F,U,GT3,3,2,0,26,negative
M,U,GT3,3,4,0,0,positive
F,U,GT3,2,2,0,8,negative
M,U,GT3,3,3,0,2,positive
M,R,GT3,4,4,0,6,negative
M,U,LE3,4,4,0,6,positive
F,R,GT3,3,3,1,0,negative
F,U,GT3,2,2,1,6,negative
M,R,GT3,2,1,0,8,negative
M,U,GT3,4,4,0,2,negative
M,U,GT3,4,4,0,2,negative
M,R,GT3,1,3,1,20,negative
M,U,GT3,3,4,0,6,negative
F,U,GT3,1,2,0,2,negative
F,U,LE3,2,4,0,2,negative
M,U,GT3,4,4,0,18,negative
F,U,GT3,2,2,0,0,negative
F,U,LE3,3,4,0,0,negative
F,U,GT3,0,1,3,2,negative
M,R,GT3,2,2,2,0,negative
F,R,GT3,3,4,2,0,negative
F,U,GT3,1,1,0,0,negative
F,U,LE3,2,2,0,12,negative
M,R,GT3,3,4,0,0,negative
F,U,GT3,4,4,0,0,negative
M,R,GT3,3,4,0,0,negative
M,U,LE3,1,1,1,0,negative
F,U,GT3,4,4,0,0,negative
M,U,GT3,4,3,0,0,negative
F,U,GT3,4,4,0,2,negative
F,U,LE3,1,1,0,2,negative
M,U,GT3,2,1,3,0,negative
F,U,GT3,3,2,3,0,negative
F,U,GT3,1,2,0,2,negative
M,U,GT3,4,4,0,0,negative
M,U,LE3,1,1,3,0,negative
M,U,LE3,2,1,1,6,negative
F,R,GT3,3,3,2,8,negative
F,U,GT3,4,4,0,0,negative
M,R,GT3,2,3,0,2,negative
M,R,LE3,1,2,0,8,negative
M,R,GT3,2,2,0,2,negative
M,U,GT3,3,3,1,4,negative
M,R,LE3,2,1,2,0,negative
M,U,LE3,1,2,1,0,negative
M,U,GT3,1,3,0,2,negative
M,R,LE3,1,1,3,0,negative
M,U,GT3,2,2,0,4,negative
F,U,GT3,4,2,0,0,negative
F,U,GT3,2,2,0,0,negative
M,U,GT3,3,4,2,0,negative
M,U,GT3,1,0,0,2,negative
M,U,LE3,4,4,0,0,negative
F,U,LE3,3,3,0,4,negative
M,U,LE3,4,3,0,4,negative
F,U,GT3,2,2,0,2,negative
M,R,GT3,4,2,0,10,negative
M,U,GT3,4,3,0,4,negative
M,U,GT3,4,3,0,10,negative
F,U,GT3,2,4,0,0,positive
F,U,LE3,3,3,0,56,negative
F,U,GT3,3,2,0,14,negative
M,U,GT3,1,2,0,2,negative
M,U,LE3,2,1,0,0,negative
F,U,GT3,3,3,0,6,negative
F,U,GT3,2,3,0,10,negative
F,U,GT3,1,1,0,0,negative
M,U,GT3,1,2,0,12,negative
M,U,GT3,2,3,0,0,negative
F,U,LE3,2,4,0,0,negative
M,U,GT3,4,4,0,4,negative
F,U,GT3,4,4,1,24,positive
F,U,LE3,4,4,0,0,negative
F,U,GT3,4,3,0,2,negative
F,U,GT3,1,1,0,4,negative
F,R,GT3,2,2,0,18,negative
F,R,GT3,2,2,0,6,negative
F,U,GT3,3,1,3,5,negative
F,U,GT3,4,3,0,10,negative
F,U,GT3,1,1,0,6,negative
F,U,GT3,3,3,0,10,negative
M,U,LE3,4,4,0,13,negative
F,U,GT3,2,2,0,0,negative
F,R,LE3,4,4,0,12,negative
F,U,LE3,3,2,0,2,negative
F,U,GT3,4,3,2,22,negative
F,U,GT3,2,3,0,3,negative
F,U,GT3,2,2,0,4,negative
F,R,GT3,2,1,0,2,negative
F,U,GT3,2,3,0,2,positive
M,U,GT3,2,2,0,0,negative
F,U,GT3,4,4,0,0,negative
F,U,GT3,3,2,0,10,negative
M,U,LE3,2,3,0,2,negative
M,U,LE3,2,1,0,14,negative
F,U,LE3,4,3,0,14,negative
M,R,GT3,2,2,0,4,negative
M,U,GT3,4,4,0,14,negative
M,U,LE3,1,1,0,18,negative
M,U,GT3,3,2,0,10,negative
M,U,LE3,2,2,0,4,negative
F,R,GT3,2,1,0,2,negative
M,U,GT3,2,2,1,0,negative
M,U,LE3,4,3,0,14,negative
M,U,LE3,4,3,0,0,negative
M,U,GT3,4,4,0,0,negative
F,U,GT3,2,1,0,0,negative
M,U,GT3,2,3,0,4,negative
M,U,GT3,3,1,3,16,negative
M,R,LE3,3,3,1,8,negative
M,U,GT3,3,2,1,0,negative
M,U,GT3,3,3,0,6,negative
M,U,GT3,2,1,1,4,negative
M,R,GT3,2,1,0,0,negative
M,U,LE3,1,1,1,2,negative
F,U,LE3,4,2,0,6,negative
M,U,GT3,2,1,0,8,negative
F,U,LE3,2,2,0,0,negative
F,U,GT3,4,3,0,21,positive
M,R,GT3,3,2,0,1,negative
F,U,GT3,3,3,0,4,negative
F,U,GT3,2,2,0,0,negative
M,U,GT3,3,1,0,2,negative
F,R,GT3,4,4,0,8,negative
M,U,GT3,4,2,0,10,negative
F,U,GT3,3,3,2,15,negative
F,U,GT3,2,3,0,4,negative
F,U,LE3,1,1,0,2,negative
F,U,GT3,2,4,0,2,negative
F,U,LE3,2,2,0,6,negative
F,R,GT3,3,2,0,75,negative
F,U,GT3,4,4,1,15,negative
M,U,LE3,4,3,0,8,negative
M,U,LE3,4,1,0,30,negative
F,R,LE3,1,1,0,1,negative
F,U,GT3,1,1,0,4,negative
F,U,GT3,2,2,0,4,negative
F,U,GT3,2,2,0,5,positive
F,U,GT3,1,1,0,6,negative
M,U,GT3,2,1,0,6,negative
M,U,GT3,4,2,0,11,negative
F,U,GT3,4,3,0,0,negative
F,U,LE3,2,1,1,12,negative
M,R,LE3,3,2,0,8,negative
M,U,GT3,3,3,0,4,negative
F,U,GT3,4,4,0,0,negative
F,U,GT3,4,3,0,0,negative
M,U,LE3,4,4,0,5,negative
F,U,LE3,4,4,0,14,negative
F,U,GT3,4,2,0,0,negative
F,U,GT3,3,2,0,0,positive
M,U,GT3,3,3,1,20,negative
M,U,GT3,3,2,0,0,positive
M,U,GT3,4,4,1,38,negative
M,R,GT3,3,3,1,0,negative
F,U,LE3,1,2,1,0,negative
F,U,GT3,2,1,0,20,negative
M,U,GT3,1,2,1,3,negative
F,U,GT3,1,1,2,14,negative
F,R,GT3,2,3,1,40,negative
F,U,GT3,2,1,0,0,negative
F,R,GT3,3,4,0,0,negative
F,U,GT3,4,4,0,2,negative
F,U,GT3,4,3,0,23,negative
F,R,LE3,2,2,0,3,negative
F,U,GT3,3,1,0,1,negative
F,U,LE3,0,2,0,0,negative
M,U,GT3,3,3,0,3,negative
M,R,GT3,2,2,0,8,negative
F,U,GT3,4,4,0,7,negative
M,U,LE3,2,2,0,2,negative
F,R,GT3,2,4,0,7,negative
F,U,GT3,3,3,0,0,negative
F,R,GT3,2,2,0,0,negative
F,U,GT3,3,4,0,16,negative
F,R,GT3,3,1,1,12,negative
F,U,LE3,3,3,0,7,negative
F,R,GT3,3,2,0,4,negative
F,U,GT3,2,1,1,4,negative
M,U,LE3,3,4,0,11,negative
F,U,GT3,2,2,1,0,negative
F,U,GT3,2,3,0,4,negative
M,R,GT3,4,3,0,9,negative
M,U,GT3,4,3,0,0,negative
F,U,GT3,4,3,0,0,negative
M,R,GT3,1,1,3,8,negative
M,U,GT3,3,3,0,2,negative
M,U,LE3,1,3,1,7,negative
M,R,GT3,4,3,0,4,negative
F,U,GT3,3,3,0,0,negative
F,R,GT3,4,4,0,4,negative
M,U,LE3,1,1,0,4,negative
F,U,LE3,1,1,0,0,positive
F,R,LE3,1,4,0,0,negative
F,U,GT3,3,3,0,0,negative
F,U,LE3,4,4,0,0,negative
F,R,GT3,1,2,0,0,negative
M,U,LE3,4,4,0,0,negative
F,R,GT3,1,1,1,0,negative
F,U,GT3,2,3,0,0,negative
F,U,LE3,3,2,2,4,negative
M,R,LE3,1,2,0,3,negative
F,U,GT3,2,2,0,8,negative
F,R,LE3,4,4,0,0,positive
F,R,GT3,1,1,0,2,negative
F,U,GT3,4,2,2,4,negative
F,U,GT3,3,3,0,0,negative
F,R,GT3,3,1,0,17,negative
M,U,GT3,4,4,0,4,negative
M,U,GT3,2,3,0,2,negative
M,R,GT3,1,1,1,0,negative
M,R,GT3,4,2,1,14,negative
F,R,GT3,4,4,0,7,negative
F,R,GT3,2,3,1,0,negative
F,U,LE3,3,1,0,0,negative
M,U,LE3,2,2,2,11,negative
M,U,LE3,3,1,0,3,negative
M,R,GT3,1,1,3,3,negative
M,U,LE3,1,1,0,5,negative
